Artist,Guns n' Roses
Album,Use Your Illusion 1
Release,1991
Song_01,Right Next Door to Hell,"https://www.youtube.com/watch?v=D-JDQ4ZWQPo"
Song_02,Dust N' Bones,"https://www.youtube.com/watch?v=o1HchKG8TWo"
Song_03,Live and Let Die,"https://www.youtube.com/watch?v=FgF3dS_aCRE"
Song_04,Don't Cry,"https://www.youtube.com/watch?v=6OMZWXgpPpw"
Song_05,Perfect Crime,"https://www.youtube.com/watch?v=q9Hy5mA9w9Y"
Song_06,You Ain't the First,"https://www.youtube.com/watch?v=OCIvC3xvx3E"
Song_07,Bad Obsession,"https://www.youtube.com/watch?v=k_vTAYjpD5E"
Song_08,Back Off Bitch,"https://www.youtube.com/watch?v=P2sGNic83ps"
Song_09,Double Talkin' Jive,"https://www.youtube.com/watch?v=go1c-MBtOuM"
Song_10,November Rain,"https://www.youtube.com/watch?v=OesY5gMYoA0"
Song_11,The Garden,"https://www.youtube.com/watch?v=BGZ0YImAuJg"
Song_12,Garden of Eden,"https://www.youtube.com/watch?v=-rlQRNN03IM"
Song_13,Don't Damn Me,"https://www.youtube.com/watch?v=5I8kTvgHLfQ"
Song_14,Bad Apples,"https://www.youtube.com/watch?v=jhDYzEFeYAA"
Song_15,Dead Horse,"https://www.youtube.com/watch?v=a6rEW9WDfjY"
Song_16,Coma,"https://www.youtube.com/watch?v=L8bfysXDH7Y"

